method,k,silhouette,inertia
NCF User Vector,2,0.17126131707080663,603.5664145305808
NCF User Vector,3,0.17320343384538475,522.997597850477
NCF User Vector,4,0.1908478720298858,454.27058026109773
NCF User Vector,5,0.1671963256667422,415.68318881502313
NCF User Vector,6,0.16595137710584673,385.7022041391832
User-Based Feature Vector,2,0.17644924279103497,277.8913270637409
User-Based Feature Vector,3,0.1689885433505738,247.1859643734644
User-Based Feature Vector,4,0.18559626985012442,219.4989898989899
User-Based Feature Vector,5,0.18931803463173885,199.71333333333334
User-Based Feature Vector,6,0.19720615226151617,182.52774725274728
